EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BEL,Belgium,17.67061536,16.59058576,17.72675173,18.27375173,18.25114543,16.18428326,17.11028236,16.93476175,17.33517865,18.24682767,17.15472381,15.94829871,15.08972902,14.1418551,14.54320633,14.27400461,14.20734461,14.09795048,14.11702496,14.1675858,14.27105979,14.62086319,14.34918184,14.09469482,14.79305478,14.83632552,15.3209604,14.93512985,15.27921156,14.87398701,14.95857765,14.92352121,14.10744844,14.39416047,14.20582144,13.82731373,13.39548664,13.0464322,13.09734637,12.29767726,12.98954591,11.96419709,11.70796866,11.73571784,11.02744638,11.33930498,11.14457599,10.86605396,10.86229275,10.77162384,10.05107907,10.44480197,9.737187536
BEN,Benin,0.864967291,0.877984448,0.928747527,0.955320174,0.929320571,0.9679906,0.908713333,0.921269942,0.928517319,0.938571311,0.958179873,0.98865303,1.021762378,0.975656872,0.971250362,1.001172677,0.917038068,0.887051295,0.855698019,0.830521788,0.84394634,0.836972629,0.830788096,0.809432588,0.843387221,0.782146037,0.916057058,0.937352362,0.916175899,0.944359867,0.953409028,1.003163247,1.037743762,1.056644613,1.069130933,1.097357956,1.221540919,1.274137549,1.255197363,1.282849629,1.345490474,1.32184005,1.285075706,1.33234426,1.354381402,1.371057286,1.489207927,1.485785596,1.579359202,1.547288947,1.572076575,1.614255187,1.618428832
BFA,Burkina Faso,1.209222273,1.194210004,1.118310598,1.049906024,1.049966111,1.06427169,1.073459944,1.071081657,1.089231602,1.114759859,1.120725685,1.138699585,1.158768208,1.165167994,1.164768418,1.258182196,1.271805752,1.286302917,1.289361984,1.284639285,1.28060865,1.313397343,1.29281826,1.287750751,1.291275016,1.296902226,1.297757548,1.314547411,1.316461328,1.281019254,1.28089782,1.334950129,1.331714961,1.556610606,1.539660139,1.542356962,1.531770518,1.556122077,1.581257188,1.564610632,1.573797439,1.573141419,1.584166849,1.597860507,1.570728204,1.624294179,1.616823327,1.630591529,1.647800068,1.659790341,1.645908812,1.655240992,1.651227124
BGD,Bangladesh,2.013789915,1.872197563,1.871524878,1.86035746,1.813080948,1.853984151,1.768537551,1.74466301,1.744762863,1.722990202,1.594020839,1.560086207,1.541970958,1.43641683,1.431270566,1.422551593,1.415222179,1.368378625,1.34341827,1.345507332,1.317582657,1.271624499,1.257753314,1.225871925,1.21783875,1.236335421,1.218452655,1.204744886,1.174852546,1.200854398,1.192068118,1.221259756,1.230851885,1.235826341,1.227257848,1.25185633,1.275169121,1.294458292,1.356586124,1.377056526,1.422547975,1.435589922,1.454661805,1.471260703,1.493566136,1.539000099,1.569067885,1.628728412,1.676438318,1.6472956,1.584630283,1.613979167,1.62260424
BGR,Bulgaria,10.77448556,10.79432471,11.07377585,11.14935999,11.20449354,11.90243958,11.96078631,12.25909615,12.92636186,13.34139713,13.70327036,13.26022508,13.45357283,13.30254468,13.0572451,13.21502046,13.33544052,13.36219984,13.32199174,13.1670585,11.87445511,10.35630382,9.901261987,9.926736993,9.365711205,9.25374689,9.408104395,9.153915987,8.870001186,8.053254963,7.894491433,8.189344282,7.826057834,8.663243762,8.510984047,8.687839741,8.93581775,9.498255581,9.140908096,8.10269796,8.532817628,9.355499712,8.686440243,7.996017399,8.389551824,9.043083077,8.777124944,9.219441169,8.824699506,8.686302412,8.079440208,9.193449577,9.996134581
BHR,Bahrain,85.66624058,83.40807133,84.36621648,86.58152237,88.72068773,75.73338099,74.55781422,79.47862243,74.02855635,72.43169406,68.70611259,66.62675517,65.41756903,63.13983325,61.7546333,62.9152338,66.25987041,62.47823952,62.58847259,61.1425274,60.94414316,58.19593747,65.25708472,67.83999405,66.20381759,64.35478752,65.08956943,59.23596937,60.07279914,61.28603765,59.5832113,58.40801068,54.86381123,51.41179412,48.12750862,49.18417277,47.5262409,45.17654061,45.3553936,43.18073289,41.66364352,40.73039856,42.98915764,46.16249237,46.96181896,45.87693003,44.29679401,42.2064154,40.39921015,41.17042017,39.83747479,39.81313338,39.29040532
BHS,Bahamas,9.365051261,9.328905312,10.6220166,10.38874776,9.013146453,9.05881047,7.95486405,8.575675325,8.508841553,8.565097278,8.280818446,7.263982344,6.035421317,4.585842005,4.454921161,3.993621383,4.088290815,4.60607871,4.632470866,5.20328366,5.032154756,4.599026951,4.041219709,4.085899576,4.274834482,4.774934374,5.192257889,5.137002888,5.731096569,5.014124673,4.130253986,4.122342871,4.293651968,3.411516086,3.590307345,3.477812742,4.0232176,4.631402553,4.71009449,4.005527228,4.368895454,3.25211893,3.729708234,4.03398485,3.981260126,3.777835641,4.024216962,4.23692026,4.883876126,5.276944093,4.598192719,4.446569307,4.544812795
BIH,Bosnia and Herzegovina,4.369200201,4.409583011,4.254877531,4.521357299,4.836398829,4.923496828,4.860937956,4.962267101,5.111545931,5.237269319,5.033846609,5.474936898,5.67420625,5.955019875,6.134133806,6.321056915,6.45213764,6.037303848,6.039714063,6.112833286,7.346368184,6.800234681,5.385040747,4.778341872,1.655018348,1.706658084,1.922900366,3.352917656,4.200083903,4.307018926,5.289339335,5.16053157,5.446404506,5.553266453,5.950327953,6.147769612,6.727096837,7.069962722,7.479025455,7.454824657,7.646455215,8.606547492,8.128750263,8.175835538,7.854138632,7.908027438,8.810552604,9.00319828,9.133521336,8.659551044,8.642180328,8.388920015,8.414349062
BLR,Belarus,9.162431377,9.290745641,9.664123797,10.11563858,10.54180942,11.14295396,11.37940838,11.51267488,11.82970155,12.02448027,12.26662133,12.12716683,12.1641479,12.25416516,12.30571869,12.376669,12.58721988,12.83696973,12.80764233,12.85801334,13.46098732,12.98153245,11.86059104,10.48777926,9.176146706,8.349426162,8.40347354,8.439871934,8.318358342,8.111749475,7.854289366,7.766626149,7.812838918,7.927808231,8.394358677,8.458324514,8.803787749,8.694382102,9.536403322,9.27703001,9.839955164,10.90372629,11.09382484,11.14307527,11.07631572,10.59768243,10.51878966,10.70945445,11.07888732,10.88851445,10.62730368,10.9063147,10.64983493
BLZ,Belize,2.399751496,2.521226377,2.624106896,2.622080087,2.625021667,2.735515917,2.642758649,2.695078734,2.662813553,2.631890986,2.616893561,2.547722174,2.471619962,2.542247498,2.424476934,2.347838724,2.426636365,2.296266958,2.192896672,2.405564698,2.641659446,2.690403933,2.629504802,2.50982793,2.460958943,2.31973631,2.18269111,2.509919292,2.493457883,2.578021763,2.138065845,2.172820918,2.162211225,2.219558147,2.089887875,2.12180722,2.372223717,2.424355845,2.40195979,2.532513074,2.597149366,2.475802136,2.353137173,2.524457059,2.321510316,2.391241076,2.402319698,2.468015196,2.377421348,2.399168005,2.281773263,2.343438451,2.358968911
BMU,Bermuda,3.140430907,3.136368869,3.68117162,3.684062573,3.313339768,3.893823562,3.54985055,3.844604628,3.819683729,3.759983353,3.705566251,3.211738269,3.183388641,3.249980889,3.465909138,3.372725016,3.293566094,4.739555737,5.445434188,6.612429427,4.482118351,4.106199314,3.33293578,3.663864972,3.530366873,3.544390026,3.599239183,3.63541933,3.704720087,3.598771445,2.687697408,2.704831189,2.898742074,2.988224658,3.040680733,3.213989813,3.815524369,4.559123461,4.595813077,4.118895805,5.12937966,2.833161835,3.318228484,3.810488899,4.905822589,4.09733755,5.343325762,4.857840046,5.665300808,6.256116086,5.827906542,5.697550816,5.897542548
BOL,Bolivia,6.08844756,6.187164713,7.117779691,7.333883771,7.145112606,6.758304455,6.881263211,6.307067249,6.378330713,5.877669748,5.642108766,5.155258632,5.27190006,5.31088138,4.949274856,4.888963428,4.424140394,4.508813129,4.541576622,4.701791761,4.562048805,4.730182158,4.831333746,5.037122272,5.226490329,4.119017997,4.015124443,4.378596713,3.890092753,3.817009679,3.742591579,3.549818012,3.667171163,3.745671647,3.929405023,3.996303166,4.068862841,4.245028185,4.313366931,4.331536472,4.664003,4.704970919,4.869692537,5.035368035,5.07916754,5.090264791,5.156011382,5.122279723,5.072980441,5.021491882,4.673332634,4.978835552,4.924441512
BRA,Brazil,3.831672982,3.823798746,3.938761575,4.11423307,4.280466073,4.384923267,4.616809837,4.655072216,4.677569778,4.76489628,4.887632129,4.690578709,4.65435808,4.516450534,4.570924963,4.585502422,4.747079591,4.779791887,4.788634627,4.771920484,4.657708663,4.750197687,4.818314173,4.906739449,5.004070552,5.157684001,5.121809183,5.206548275,5.231611964,5.254292921,5.332415533,5.346466057,5.415265291,5.525194797,5.732330139,5.710871051,5.690141436,5.717873165,5.81609725,5.635118775,5.98443074,6.104689797,6.235387078,6.36367312,6.481510978,6.350535085,6.188641415,6.202083331,6.046189793,6.033454838,5.974334525,6.239100681,6.049312875
BRB,Barbados,2.279547087,2.307637222,2.517732849,2.539823359,2.343381197,2.527786994,2.412807986,2.617675477,2.629467373,2.638118809,2.679478609,2.607503439,2.538569424,2.574358684,2.959928698,3.202910509,3.297711481,3.115175673,3.148561102,3.457184951,3.298762395,3.194703279,3.127242747,2.980273096,2.893597841,2.932796644,2.915898979,3.237588316,3.455431743,3.479054936,3.171572393,3.052673504,3.111391557,3.217077037,3.208935373,3.238186599,3.317090597,3.218664421,3.679995535,3.628223151,3.690045483,3.232230845,3.147626377,3.538727376,3.215197813,3.292040899,3.444848849,2.996733265,3.350510812,3.585749638,3.197792543,3.139500767,3.222140927
BRN,Brunei,24.7537429,22.46241098,26.65688513,34.59005244,37.34626751,38.80178471,45.5056748,46.18004172,44.3424494,42.41304024,48.01006287,38.84309139,38.8844319,39.32206008,36.00579101,34.55913775,33.08849762,32.60363266,31.95251474,31.12592833,31.61925409,32.1247065,31.43761531,32.06546417,32.71977405,33.81642906,33.8107473,35.15064312,31.8729808,32.23106997,33.81783484,34.56035105,32.23399791,35.34906941,32.48641837,31.39810008,40.55076848,38.3121418,43.86703218,39.68554089,36.28273054,37.12428565,36.09067989,34.32176806,32.83487493,30.39946123,30.63780576,31.84973093,32.83747514,30.56977648,34.8139829,34.17560386,32.66388851
BTN,Bhutan,2.447832331,2.408094596,2.379703067,2.346988247,2.316386963,2.274608925,2.252610784,2.227223001,2.221422061,2.200214812,2.182030773,2.211195363,2.225645283,2.24339487,2.226382934,2.259736167,2.242569752,2.319029417,2.094360384,2.061748747,2.1604544,2.2067501,2.142519525,2.198886604,2.317672702,2.838532128,2.945917965,2.958169444,2.945695364,3.056680725,2.822964202,2.742629893,2.722648294,2.684351675,2.632125636,2.821221044,2.769978744,2.759440591,2.613289679,2.950205595,3.045548791,3.279458203,3.15587612,3.251948493,3.209662993,3.389639208,3.532482572,3.689006272,3.925887553,4.110531553,4.081970932,3.622179368,3.600123398
BWA,Botswana,4.968565145,4.988714495,5.600785928,5.715063004,6.267239636,6.730290706,7.4445177,7.779821038,7.220867168,7.037295171,6.988330766,6.974923545,6.919960824,6.431328181,6.006276424,5.574326745,5.548020717,5.474720928,6.055026181,6.217794311,6.773811001,5.9032658,5.921964677,5.599222824,5.547197929,6.07633871,5.37297984,5.428400105,5.836355867,6.116848271,6.228500077,5.806327451,5.482021727,5.281986133,5.180110983,5.461564748,5.314811778,5.327146307,5.380181295,5.266239641,5.069426626,5.173858014,4.631079161,5.401344393,5.698080387,5.791668928,5.301213348,5.293770222,5.607982376,5.017601565,4.382402157,4.615871893,5.050908256
CAF,Central African Republic,0.989981479,1.012892259,1.045723729,1.057434854,1.101699778,1.105422316,1.123142575,1.183928017,1.255501369,1.495415242,1.545537116,1.556243252,2.80884858,2.773586437,2.533672781,2.53344524,2.680164816,2.584459891,2.467027073,2.687506179,2.661297975,2.765282236,2.690204824,2.454840895,2.590349291,2.590024665,2.632311204,2.325497101,2.636653505,2.540830117,2.54910367,2.61310843,2.309209012,2.554534093,2.352535729,2.492538152,2.463704256,2.596764479,2.561298246,2.382185191,2.508387046,2.705669872,2.628772761,2.611639132,2.579106074,2.654932433,2.790416327,2.645498813,2.657878699,2.60670842,2.612982923,2.613829058,2.620458186
CAN,Canada,21.63639298,21.72896854,22.4459496,23.31898484,23.37155437,22.40545895,22.61626453,23.23289914,23.25617426,23.60317446,23.57400038,22.5282171,21.54357431,21.38348437,21.98244433,21.55058146,20.76070328,21.08244419,22.05245265,22.55778164,21.02233997,20.57714945,20.89733827,20.79547367,21.44891495,21.73506625,22.08193629,22.29303355,22.36839406,22.52590659,23.10839295,22.57198924,23.09029206,23.45067054,23.092299,23.08015705,22.75366562,23.53040934,22.45286425,20.97946054,21.2514636,21.48942134,21.33360378,21.43284123,21.5914954,21.26679683,20.9032749,21.10344764,21.31450757,20.79882971,18.9204255,19.33028488,19.79002435
CHE,Switzerland and Liechtenstein,8.299498135,8.543826861,8.595779152,9.169335259,8.375213062,7.954918337,8.262658464,8.372477406,8.601429629,8.437668162,8.577067665,8.147252252,7.754110987,8.366230171,8.251924014,8.690985618,8.630883569,8.31214715,8.251592643,8.171557903,8.21638482,8.472298049,8.335528854,7.855545736,7.621404551,7.675142156,7.707571152,7.4742539,7.662198016,7.655966166,7.517099961,7.692989526,7.422777617,7.541265516,7.569672868,7.602291086,7.450966218,7.112075236,7.239540244,6.912865833,7.054444952,6.464686132,6.552691857,6.624083274,6.106002922,5.962146636,5.963543745,5.806534059,5.607477345,5.546233811,5.2128125,5.266284734,5.184187001
CHL,Chile,5.388311985,5.52164458,5.671077048,5.494262299,5.23969737,4.874049849,4.823410706,4.578864633,4.556228333,4.724557035,4.883829697,4.778536958,4.403152228,4.332513124,4.36145882,4.123959259,4.042620207,4.02072928,4.300068879,4.657456727,4.587138018,4.409159489,4.516260536,4.628835568,4.830705098,5.127442262,5.559158725,5.949531592,5.910557848,6.076299095,5.778376266,5.608541986,5.572503045,5.643658247,5.934420046,5.917315917,5.937029558,6.38190054,6.621513009,6.292927281,6.322805736,6.869760416,7.029150918,7.06822406,6.580526705,6.819035087,7.058036591,7.114340469,7.169426781,7.445811657,6.981402113,7.560116668,7.313507428
CHN,China,2.59777562,2.59747282,2.628796106,2.621164241,2.593865339,2.755523568,2.775918578,2.920541585,3.078343952,3.080050916,3.007860405,2.934501403,2.977649928,3.046211204,3.181072546,3.137040672,3.208672315,3.31659496,3.424242271,3.467456486,3.474402325,3.539083844,3.589099896,3.71805747,3.829654583,4.140584249,4.104262762,4.10486887,4.143948554,4.076979821,4.228111416,4.356955184,4.589029363,5.111908592,5.750417489,6.379989714,6.945675531,7.364828124,7.490104053,7.910899892,8.505523039,9.194199658,9.40098105,9.752341646,9.819462801,9.648955548,9.581144579,9.726786629,10.10325593,10.2855561,10.44510521,10.94372662,10.95409908
CIV,Côte d’Ivoire,1.274127345,1.241771998,1.261222176,1.238762152,1.220836371,1.247890619,1.292130514,1.263881412,1.31516485,1.244846095,1.179666392,1.140148697,1.137307087,1.251902168,1.19325779,1.144798246,1.102535886,1.059758269,1.019019504,0.95322097,0.91935224,0.917457537,0.901353502,0.885848401,0.925334919,0.943234442,1.015685791,1.079885022,1.039687359,1.146821593,1.118119563,1.110019424,1.13885734,1.036333088,1.06597015,1.106200772,1.098697108,1.082470996,1.098525821,1.046042486,1.092755648,1.098384179,1.197345948,1.233161935,1.245689563,1.265152402,1.282998997,1.294736101,1.271671328,1.306105022,1.285163764,1.315603721,1.315631106
CMR,Cameroon,1.217575707,1.238751807,1.178870684,1.155869321,1.155185915,1.217825859,1.227531324,1.320033455,1.397527576,1.637293039,1.946240712,2.217058794,2.344011657,2.545242529,2.770432373,3.106111121,3.055145627,2.952493389,2.631060002,2.782511856,2.668867658,2.531574926,2.384091022,2.2628313,2.146271335,2.137157893,2.181875653,2.102114583,2.102370917,2.099960139,2.140612273,2.092346844,1.971754739,1.964437164,1.901713178,1.863757782,1.775448267,1.774119531,1.718138674,1.711593902,1.651102892,1.589666486,1.588994385,1.650158458,1.700139561,1.797063187,1.803048536,1.693337984,1.692421116,1.684125418,1.677090857,1.640744829,1.582584293
COD,Democratic Republic of the Congo,0.650157465,0.647763294,0.646139355,0.641816397,0.642928894,0.635656597,0.820172021,0.794332088,0.74711143,0.770169945,0.741638291,0.743898063,0.83244508,0.879426976,0.945763275,0.883109627,0.885005061,0.897918467,0.899643117,0.828221656,0.825536294,0.739893204,0.728365802,0.731610599,0.689006872,0.676403744,0.681116928,0.647892952,0.645395097,0.619632708,0.66035264,0.594006027,0.566417821,0.573472202,0.567920317,0.56566954,0.55961589,0.560621542,0.555534349,0.541351801,0.574585165,0.572024517,0.65305885,0.685770638,0.718562134,0.691060695,0.677915503,0.69189559,0.664988211,0.666804898,0.658737551,0.656225694,0.647284679
COG,Congo,1.861032402,2.009041305,2.110925899,7.789039731,10.37013862,6.600690757,6.414740161,2.989198137,2.696226026,2.714305676,3.160056049,3.641893844,3.968567998,3.942206423,4.570682793,4.359317163,4.205208204,4.379811317,4.658513247,4.826452459,4.698215152,4.529633103,4.451341376,4.479327035,3.843326951,4.576327823,5.698336834,5.782045587,6.704064125,6.651807094,7.007408745,6.365835648,4.148014047,4.519682356,4.73066444,5.573351289,5.936377991,4.939822102,4.740334445,5.004617681,5.289663472,4.947729309,4.642629902,4.396133188,4.383126367,4.251189337,4.089079257,4.326233387,4.922209149,5.023524317,4.688703546,4.303238889,4.338638749
COK,Cook Islands,1.296318775,1.300232757,1.325736922,1.559158981,1.892813746,1.703128517,2.085405034,2.198904418,2.267791621,2.372631498,2.518019115,4.164324875,4.072917212,3.967429675,3.521843471,3.759376367,2.602440184,2.88272627,2.900937289,2.784718739,2.786579515,2.08340505,2.785944748,2.781597996,2.93151764,2.860830636,2.959280576,3.158542513,3.331839344,3.20662887,4.48899124,4.32741174,2.595984451,2.361340897,3.381396262,5.092308395,5.23511233,4.400735461,4.589365248,4.340827218,5.289600754,5.985311461,6.342741054,6.667646743,7.14473768,6.642704998,6.986045413,7.524780447,7.50886889,7.883777818,6.418724312,6.83024597,6.955033287
